640 31873
95 80 12
90 74 32
111 93 8
118 10 93
94 76 24
83 94 3
99 1 91
76 5 87
103 20 74
86 8 89
106 43 52
112 76 29
100 1 89
116 57 40
79 64 34
86 84 20
121 28 78
86 37 56
102 47 51
96 76 31
125 37 73
107 49 52
78 44 53
113 56 46
116 28 77
81 79 12
93 6 93
125 61 45
95 20 87
90 78 19
105 2 99
108 73 34
118 37 72
109 20 89
112 26 75
108 29 79
103 1 91
87 35 61
95 70 28
102 59 51
97 69 41
122 33 70
89 51 52
112 78 23
101 12 88
104 20 80
99 53 49
99 88 3
104 43 67
108 98 4
117 89 18
106 50 54
93 29 72
116 57 43
72 39 51
108 95 15
100 56 40
81 43 51
94 50 49
77 23 74
85 44 57
72 38 54
112 84 9
103 23 69
112 45 54
104 52 48
99 80 19
121 50 53
83 8 83
113 85 13
100 1 94
97 8 93
96 29 74
118 96 9
93 5 89
95 86 14
118 47 61
93 34 61
77 65 29
87 55 49
99 90 20
97 43 49
111 74 20
129 30 80
96 82 14
116 17 82
86 26 77
101 8 94
92 47 59
101 76 17
87 91 14
89 72 22
92 89 20
100 46 45
105 68 39
106 33 75
98 1 94
93 19 83
105 31 64
91 80 13
120 14 91
118 53 53
114 48 59
94 69 35
115 90 13
91 62 44
95 92 4
111 66 39
89 64 40
97 70 34
118 63 37
103 73 25
89 33 72
98 41 68
89 89 18
111 48 54
87 13 89
104 73 33
113 77 22
108 31 72
92 75 33
93 68 26
99 98 1
83 4 95
78 19 74
111 70 23
119 98 7
93 82 8
78 13 80
108 23 75
112 83 26
93 75 18
106 1 96
110 88 8
92 54 49
100 71 34
103 89 10
87 85 17
89 15 86
117 65 37
99 76 24
107 71 36
105 15 78
81 21 75
101 19 85
99 60 40
94 93 15
115 89 21
94 33 68
94 49 45
82 96 2
94 35 57
97 44 50
105 90 17
112 11 97
95 99 5
110 72 26
90 78 29
85 74 25
86 66 24
98 46 45
118 9 91
91 3 92
76 85 6
88 26 77
71 72 19
99 48 51
75 66 28
86 70 35
112 28 71
127 93 16
104 26 75
123 25 79
84 12 83
103 5 87
105 98 7
114 48 61
94 37 56
123 79 25
104 44 66
113 100 6
109 15 88
117 43 55
87 48 58
79 87 5
113 70 31
113 46 53
113 43 52
111 21 88
105 23 84
84 80 14
90 47 54
100 15 82
113 25 73
94 36 58
85 75 22
98 51 53
124 15 90
106 68 39
86 21 74
77 13 78
87 86 19
84 19 83
126 34 73
107 78 17
77 68 22
105 52 42
121 27 78
102 29 64
93 28 67
89 35 63
95 8 92
90 16 74
115 36 66
100 30 63
105 18 77
106 2 98
98 49 45
104 77 15
97 4 89
123 90 20
108 89 5
114 94 13
115 75 23
92 7 100
88 95 3
79 74 17
113 39 71
92 13 78
83 31 61
105 71 34
90 63 27
105 56 36
95 42 56
102 61 39
106 42 63
90 56 50
91 36 65
110 84 20
104 68 24
118 7 98
105 54 37
104 1 96
122 44 60
83 45 50
89 47 62
99 13 84
75 22 70
121 21 83
104 86 18
88 92 3
84 9 84
124 26 80
112 9 89
96 15 87
119 10 97
101 88 7
108 42 49
118 72 31
97 24 86
90 80 12
102 49 54
110 26 80
102 91 8
108 37 66
97 68 27
103 50 55
85 24 79
97 19 80
116 100 9
95 60 49
91 39 64
101 74 34
110 89 6
93 18 79
110 19 79
113 36 73
93 74 29
116 97 5
91 55 43
81 69 29
100 47 46
78 49 48
109 99 9
102 98 9
115 33 73
115 21 80
100 81 19
94 22 88
104 48 57
76 37 57
113 15 86
98 35 75
84 92 9
88 71 21
94 32 59
77 11 79
104 10 92
123 73 31
92 78 23
97 77 26
96 57 41
117 25 84
114 2 93
127 64 46
117 35 74
79 7 86
94 85 8
83 18 83
82 67 34
97 42 49
78 39 59
99 41 56
80 75 20
103 24 83
86 60 41
95 46 51
79 19 80
116 68 34
91 90 8
91 42 50
98 32 74
82 39 56
99 36 64
121 97 12
96 36 60
82 3 91
90 73 21
126 8 100
122 97 7
92 70 32
101 41 62
92 68 32
83 13 90
95 49 48
88 60 41
88 2 95
117 60 45
107 5 97
103 44 52
81 27 67
105 32 71
104 21 81
105 8 98
104 72 35
74 50 41
105 67 23
123 44 63
115 58 50
96 3 94
118 86 20
95 70 31
116 2 96
99 87 4
87 44 54
81 2 89
91 81 21
100 35 68
89 98 3
103 87 9
91 30 62
101 8 87
91 22 88
77 44 51
114 58 47
78 36 61
97 69 37
72 77 15
100 93 13
94 31 63
116 47 59
102 55 40
107 80 30
107 62 31
90 30 72
127 55 55
114 16 85
74 12 80
95 17 84
100 16 82
87 12 85
116 8 97
105 84 9
115 3 94
98 16 75
80 30 64
109 23 70
73 92 1
103 5 99
116 84 24
96 65 34
102 30 62
117 21 79
81 84 10
82 70 21
75 22 73
77 82 11
82 72 20
85 32 70
109 33 70
84 16 83
113 76 28
115 38 61
124 98 10
115 14 85
94 36 56
86 97 6
95 23 84
114 66 40
98 85 17
113 2 100
108 91 16
77 73 20
86 65 29
92 75 16
112 67 43
90 52 56
112 62 37
102 23 79
103 26 77
91 68 33
79 82 14
88 55 53
84 6 86
117 35 69
115 22 78
104 43 65
89 15 77
98 86 11
124 60 48
96 12 84
104 49 48
90 42 52
109 38 56
114 82 26
123 45 65
91 35 65
100 30 80
103 88 8
90 30 64
100 78 31
91 6 89
106 67 41
116 80 25
110 7 88
85 52 43
93 14 76
110 73 31
96 15 85
101 21 87
114 35 72
91 66 42
112 91 7
85 2 96
105 35 74
118 82 24
95 78 19
77 20 75
86 82 12
114 10 94
116 25 80
82 66 34
99 25 74
96 54 51
94 33 58
101 36 56
113 95 9
118 14 90
95 65 43
125 80 26
105 54 42
78 52 44
105 3 87
124 99 9
84 41 49
86 6 88
84 25 72
82 13 81
114 98 1
73 8 84
99 21 76
120 98 9
96 68 35
102 25 68
85 79 16
79 68 24
85 45 47
113 60 42
89 12 79
90 32 63
117 96 2
122 92 17
94 13 86
76 31 64
96 78 13
112 20 82
109 18 73
83 93 3
109 60 43
114 63 33
86 6 84
107 32 66
106 93 13
106 43 65
102 2 96
108 60 46
88 23 76
80 83 10
108 31 78
98 5 100
114 83 24
106 34 69
105 10 94
85 89 4
102 2 98
94 11 86
111 50 51
116 31 72
120 56 51
91 79 21
100 73 33
114 87 19
118 83 24
91 9 86
109 99 7
94 21 86
83 73 25
102 28 66
80 62 38
98 7 93
104 80 18
74 16 75
98 97 4
96 4 100
77 4 88
96 40 65
124 17 91
108 52 54
100 93 1
101 52 47
110 36 74
92 38 62
106 50 44
91 63 38
89 63 43
108 62 42
108 99 9
117 7 94
95 27 72
115 92 5
112 86 12
101 14 90
117 71 32
87 86 15
90 5 93
123 55 52
117 2 100
86 62 29
88 91 9
85 21 74
105 79 11
104 21 81
115 10 92
101 87 11
83 58 39
90 39 54
99 5 87
95 65 30
77 13 84
93 85 8
115 90 11
91 85 17
99 53 57
95 82 21
111 45 49
92 32 59
121 36 70
92 81 22
106 99 3
109 60 32
97 11 95
112 63 46
104 21 79
98 52 41
75 55 40
116 26 83
101 68 37
104 34 63
107 52 49
119 82 28
121 99 9
83 93 5
107 52 44
114 29 81
76 38 52
100 42 67
100 21 84
115 42 58
88 13 89
81 64 29
87 17 83
92 9 81
98 41 56
83 1 99
79 2 95
106 60 38
104 48 43
96 29 73
111 97 12
106 10 91
98 58 35
85 60 37
105 21 73
99 28 81
115 75 29
94 34 64
87 8 93
104 59 40
97 86 13
92 72 28
97 49 61
80 79 18
114 17 87
80 60 40
123 87 19
114 88 16
103 45 53
90 83 23
99 69 40
107 32 58
85 44 47
94 65 45
112 87 8
100 8 99
91 77 22
101 72 20
103 87 8
109 43 54
80 1 89
92 51 51
