160 7979
102 52 44
110 95 10
126 10 98
84 19 73
114 58 49
109 96 14
88 1 100
116 69 29
72 4 86
109 16 86
110 24 82
107 80 10
79 2 92
115 92 12
102 32 70
107 91 16
116 84 16
107 24 69
107 12 96
100 50 57
114 35 69
72 33 57
107 33 72
91 61 39
110 51 48
92 43 62
86 12 83
97 67 43
98 65 28
104 33 64
109 40 54
94 74 32
89 43 47
109 44 58
113 29 76
116 13 89
92 12 83
82 95 3
108 46 58
80 2 89
91 35 72
70 87 3
118 81 26
95 90 15
98 8 98
107 93 1
112 26 72
90 74 16
91 90 16
90 34 72
111 7 87
94 68 24
110 58 36
88 75 24
104 29 79
103 36 74
78 89 9
100 21 87
73 36 57
125 10 96
98 73 18
115 24 73
73 64 27
101 99 11
74 49 41
106 99 11
107 36 69
120 82 22
94 96 5
81 24 67
126 23 85
108 62 33
115 96 6
116 37 70
110 12 92
121 55 53
126 13 96
93 23 67
113 89 15
102 99 7
102 30 64
82 17 76
95 62 44
105 84 22
107 89 5
76 86 9
92 13 89
110 59 49
115 19 86
95 49 51
91 100 8
80 12 85
103 61 31
98 19 73
105 76 31
91 9 85
100 71 28
95 28 82
74 78 12
95 95 9
116 52 51
99 83 23
108 16 86
103 69 29
109 99 9
113 12 92
96 25 75
73 52 41
111 85 12
98 100 4
105 53 51
108 23 80
106 16 87
96 57 34
89 39 64
94 53 39
100 42 61
109 58 37
102 39 69
101 14 80
123 95 10
94 5 93
97 35 61
105 87 14
102 93 17
113 75 34
82 18 75
89 76 16
119 9 95
105 74 30
78 58 33
95 17 80
115 7 92
100 46 49
76 13 78
106 40 54
111 42 68
80 9 86
88 50 55
109 27 73
80 66 32
102 5 87
113 29 68
96 37 56
76 38 57
116 83 26
83 8 92
89 65 39
115 86 20
76 17 78
94 71 33
102 89 8
92 45 63
100 4 91
91 36 57
121 70 39
100 31 78
84 19 85
120 61 42
84 54 40
