80 4008
73 69 21
92 98 1
109 70 40
83 86 11
88 11 81
81 16 74
109 97 11
112 73 30
112 59 36
89 70 32
91 80 11
101 93 1
74 3 87
103 20 85
107 59 34
102 36 70
108 19 82
89 90 14
108 67 25
116 19 87
104 20 72
100 96 4
72 71 19
111 52 55
109 33 66
111 40 52
106 39 64
118 82 25
97 1 94
97 11 80
83 92 10
125 57 49
78 89 1
118 50 50
104 23 76
96 31 61
94 94 8
111 42 54
83 99 4
92 7 90
94 16 87
111 90 19
111 60 44
72 2 89
97 1 95
112 48 60
91 12 94
120 69 35
77 37 53
94 32 78
79 9 87
116 99 6
118 19 90
118 48 56
92 80 17
111 3 99
104 20 88
115 24 84
99 54 40
112 33 77
89 24 74
90 75 35
103 72 18
109 36 69
77 38 59
123 84 21
105 99 5
83 89 3
104 99 10
124 25 83
114 93 14
103 18 76
87 82 21
96 66 35
105 54 51
111 35 61
99 80 10
96 61 33
83 41 58
117 100 4
