320 16064
88 100 2
85 77 22
92 3 87
108 33 77
103 6 99
101 50 43
88 10 97
74 5 85
99 23 86
80 10 89
94 44 48
87 2 94
93 13 96
111 40 54
111 2 96
124 84 26
110 65 44
104 63 38
95 73 33
105 17 86
102 9 97
91 75 28
78 15 82
106 24 78
84 38 58
83 35 65
112 94 10
121 95 13
84 49 45
92 69 26
125 62 48
115 60 38
87 50 41
98 78 16
86 75 20
100 9 90
116 34 76
101 76 19
120 99 8
87 35 66
95 1 98
117 40 70
84 64 39
80 22 78
123 60 48
113 64 44
123 93 11
115 72 28
124 11 95
111 14 83
94 60 31
106 30 64
92 35 58
122 85 23
105 37 72
116 5 98
103 83 15
79 78 13
117 26 72
86 62 44
117 4 94
103 89 10
110 42 54
108 89 3
110 18 83
108 40 55
99 72 29
90 39 55
90 14 85
108 32 73
95 51 57
106 38 72
120 97 7
90 23 82
101 63 34
111 15 92
103 97 12
103 25 73
115 17 87
102 97 10
92 66 30
111 78 32
89 53 43
90 51 53
85 39 59
109 51 56
117 70 37
110 6 90
125 67 40
99 7 99
105 51 41
108 72 20
119 42 58
119 64 37
87 15 89
99 29 73
85 33 57
88 94 13
105 27 65
94 36 66
118 29 78
110 38 54
111 57 46
106 97 1
105 27 83
90 55 46
95 33 63
74 68 26
88 86 20
95 66 36
90 10 97
107 5 86
85 74 31
96 97 5
92 38 60
109 13 93
84 31 62
110 47 47
124 100 6
106 88 15
92 52 48
95 56 35
79 15 81
96 29 68
97 8 100
113 5 95
80 29 69
79 47 48
96 68 26
94 76 30
91 45 47
113 2 97
104 27 80
105 95 14
103 36 56
109 36 56
106 26 76
81 43 55
119 27 76
81 69 22
80 20 78
80 11 87
82 74 17
87 38 61
123 6 98
84 72 22
94 23 68
121 47 57
82 90 8
110 46 59
92 12 95
87 90 5
86 13 81
125 62 44
113 82 20
90 89 19
124 97 8
110 60 31
114 43 59
98 76 19
98 100 3
104 68 29
82 5 85
104 37 63
125 72 38
84 92 6
104 31 63
88 9 90
109 51 49
106 29 67
122 78 29
84 40 51
110 41 61
119 86 15
102 11 80
108 23 79
86 1 89
107 46 51
94 21 70
117 90 13
90 36 69
117 54 54
85 87 9
109 57 41
98 1 90
113 63 41
102 54 40
92 55 38
76 40 53
97 15 91
95 21 85
91 47 43
100 73 34
112 53 51
116 9 92
83 74 18
104 52 44
112 57 43
89 26 69
98 41 67
104 35 56
89 63 30
84 25 67
117 90 9
112 75 29
111 38 62
84 2 89
106 7 93
88 82 10
110 91 12
105 34 76
95 91 5
93 17 78
76 43 51
107 59 31
117 51 53
96 54 38
98 24 77
99 25 79
101 71 26
114 52 54
97 70 40
110 88 16
89 33 70
100 49 43
104 29 72
91 63 29
97 22 81
89 26 77
105 28 78
81 85 8
96 49 46
91 71 39
87 81 16
98 84 18
97 49 48
116 20 87
117 86 21
109 92 6
104 63 37
107 61 29
85 49 49
101 71 29
95 1 91
101 96 9
112 13 88
104 94 15
121 87 22
118 51 48
119 56 51
103 83 8
82 62 28
82 32 58
114 30 79
77 29 67
113 49 46
97 45 58
114 93 2
82 30 70
83 16 79
83 40 55
106 19 77
89 18 80
84 1 96
114 78 29
95 47 62
99 66 34
91 92 16
101 94 6
85 38 54
97 51 49
103 63 38
93 4 97
96 1 97
118 8 95
89 29 73
121 55 55
89 3 89
92 32 63
109 10 98
105 74 20
80 83 15
113 34 65
118 97 13
116 87 17
87 55 41
118 92 17
120 32 78
125 50 59
100 7 86
104 93 12
118 8 99
113 65 33
123 57 53
74 67 26
117 88 16
78 87 6
87 59 37
89 72 20
97 54 43
116 67 37
97 51 41
120 97 8
117 92 16
92 8 91
84 34 69
78 35 59
95 96 6
100 88 8
90 78 31
81 32 64
110 46 60
105 16 75
78 68 26
109 37 53
116 54 47
104 85 17
114 14 90
95 95 11
85 55 37
